pre_village,hhs,total_population,beans_kgs_hh_seed,ground_nuts_kgs_hh_seed,maize_kgs_hh_seed,rice_kgs_hh_seed,onions_bags_hh_seed,soya_bean_kgs_hh_seed,field_peas_kgs_hh_seed,irish_potatoes_bags_hh_seed,millet_kgs_hh_seed,sweet_potatoes_bags_hh_seed,hot_pepper_tins_organic_pesticides,derris_tin_organic_pesticides,neem_kg_organic_pesticides,onions_bags_organic_pesticides,tephrosia_kgs_organic_pesticides,garlic_kgs_organic_pesticides,ginger_kgs_organic_pesticides,plastic_tanks_120_ltrs_liquid_manure,sacks_liquid_manure,sisal_rope_liquid_manure,filter_liquid_manure,mortar_&_pestle_liquid_manure,hoes_tools,spades_tools,pick_axes_tools,forked_spades_tools,forked_hoes_tools,pangas_tools,secateurs_tools,gloves_tools,wheelbarrows_tools,trowels_tools,watering_cans_tools,jerrican_tools,spray_pumps_tools,turplins_tools,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort,Agriculture Value (USD)
Buhoma,308,1366,2.672853828,3.016241299,3.016241299,0,0,0,0,0.001386085,0,0,0.004640371,0,0,0.013921114,0,0.357308585,0.357308585,0.018561485,0.009280742,0.004640371,0.009280742,0.009280742,0.03712297,0.023201856,0.023201856,0,0.023201856,0.023201856,0,0,0.013921114,0.023201856,0.027842227,0,0.009280742,0,1434.7333333333333,46.916666666666664,1.9645833333333333,10.666666666666666,88.25,,87.66666666666667,,,110,,6.333333333333333,80,98.54545454545455,40,2022,679.2567567567568
Bukere,137,577,3.03626943,3.03626943,3.03626943,0,0,3.03626943,0,0,0,0,0.010362694,0,0,0.031088083,0,0.352331606,0.352331606,0.041450777,0.082901554,0.010362694,0.020725389,0.020725389,0.051813472,0.041450777,0.041450777,0,0.031088083,0.051813472,0,0,0.020725389,0.093264249,0.031088083,0,0.062176166,0.020725389,1025.6909090909091,47.24242424242424,1.3299999999999998,62.515151515151516,46.666666666666664,,4.25,,550.5882352941177,80,,3.3333333333333335,,6.555555555555555,28,2022,553.8518173
Bunabiro,91,437,3.09375,3.09375,3.09375,0,0,3.09375,0,,0,0,0.015625,0,0,0,0,0.359375,0.359375,0.0625,0.125,0,0.03125,0.03125,0.03125,0.03125,0.03125,0,0.03125,0.03125,0,0,0.03125,0.03125,0.03125,0,0.03125,0,1055.2821428571428,41.357142857142854,1.608,88.42857142857143,61.25,,42,,322,74.5,,85.75,,11.444444444444445,,2022,528.9371327849589
Bunagana,40,247,3.236363636,0,3.236363636,0,0,0,0,0.00684492,0,0,0.036363636,0,0,0,0,0.363636364,0.363636364,0.072727273,0.290909091,0,0.072727273,0.072727273,0.072727273,0.036363636,0.036363636,0,0.036363636,0.036363636,0,0,0.036363636,0.036363636,0.036363636,0,0.072727273,0,2095.2727272727275,41.90909090909091,1.5545454545454547,75,92.54545454545455,7,,,,,,6,,6.6,0,2022,693.9292149292149
Buniga,50,300,3.045454545,0,3.045454545,0,0,0,0,0.007240547,0,0,0.022727273,0,0,0.113636364,0,0.295454545,0.295454545,0.090909091,0.181818182,0.022727273,0.045454545,0.045454545,0.068181818,0.068181818,0.068181818,0,0.068181818,0.045454545,0,0,0.045454545,0.045454545,0.068181818,0,0.045454545,0,2063.746153846154,48.46153846153846,0.8638461538461539,27.307692307692307,152.08333333333334,18.166666666666668,,,,,,4.055555555555555,,20.444444444444443,,2022,860.0042528
Bunyinya,72,349,3.02970297,3.02970297,3.02970297,0,0,0,0,,0,0,0.01980198,0,0,0,0,0.356435644,0.356435644,0.03960396,0.03960396,0,0.03960396,0.03960396,0.059405941,0.03960396,0.01980198,0,0.01980198,0.03960396,0,0,0.03960396,0,0.03960396,0,0.03960396,0,1653.675,51.5,1.5458333333333334,30.833333333333332,145,,,,,,,20,,55,45.875,2022,679.7267920094007
Busege,90,442,3.070866142,3.070866142,3.070866142,0,0,3.070866142,0,,0,0,0.015748031,0,0,0.015748031,0,0.362204724,0.362204724,0.062992126,0.125984252,0.015748031,0.031496063,0.031496063,0.078740157,0.031496063,0.031496063,0,0.031496063,0.047244094,0,0,0.062992126,0.031496063,0.047244094,0,0.062992126,0.141732283,966.5400000000001,35.5,1.55,67.06666666666666,67.5,,83.3,,382.4761904761905,90,,,,20.714285714285715,,2022,474.791769
Buseru,111,505,2.585987261,2.585987261,2.585987261,0,0,2.585987261,0,0,0,0,0.012738854,0,0,0,0,0.356687898,0.356687898,0.050955414,0.101910828,0,0.025477707,0.025477707,0.038216561,0.038216561,0.025477707,0,0.025477707,0.038216561,0,0,0.025477707,0.025477707,0.025477707,0,0.025477707,0.025477707,1028.6911764705883,39.588235294117645,0.7177083333333334,77.64705882,55,,5.4,,431.36842105263156,,,,,40.8,190,2022,515.6167953667954
Buseta,55,279,3.173333333,3.173333333,3.173333333,0,0,3.173333333,0,0,0,0,0.026666667,0,0,0.026666667,0,0.373333333,0.373333333,0.106666667,0.213333333,0.026666667,0.053333333,0.053333333,0.08,0.053333333,0.026666667,0,0.026666667,0.053333333,0,0,0.026666667,0.053333333,0.053333333,0,0.026666667,0.026666667,1033.662962962963,39,1.3199999999999998,42.592592592592595,115,,25.5,,335.2307692307692,33,,4,,7.545454545454546,150,2022,536.1441441441442
Bushaara,49,297,3.101449275,0,3.101449275,0,0,0,0,0.004254753,0,0,0.028985507,0,0,0,0,0.347826087,0.347826087,0.057971014,0.231884058,0,0.057971014,0.057971014,0.057971014,0.028985507,0.028985507,0,0.028985507,0.028985507,0,0,0.028985507,0.028985507,0.028985507,0,0.057971014,0,2090.5636363636363,45.81818181818182,2.326363636363636,96.36363636363636,195.55555555555554,10.666666666666666,,,,,,11.166666666666666,,41.5,500,2022,983.6423186
Bushambara,82,476,3.087719298,0,3.087719298,0,0,0,0,0.002759708,0,0,0.01754386,0,0,0,0,0.368421053,0.368421053,0.070175439,0.140350877,0,0.035087719,0.035087719,0.035087719,0.035087719,0.035087719,0,0.035087719,0.035087719,0,0,0.035087719,0.035087719,0.035087719,0,0.035087719,0,2022.0333333333335,53.833333333333336,1.6208333333333333,37.75,240.41666666666666,,,346.25,,,,173.16666666666666,,30,,2022,819.5450205640424
Busiginyi,96,470,3.089552239,3.089552239,3.089552239,0,0,3.089552239,0,0,0,0,0.014925373,0,0,0,0,0.358208955,0.358208955,0.059701493,0.119402985,0,0.029850746,0.029850746,0.074626866,0.044776119,0.029850746,0,0.029850746,0.044776119,0,0,0.014925373,0.044776119,0.044776119,0,0.014925373,0.014925373,1032.0538461538463,42.30769230769231,0.9522727272727273,45.07692307692308,120,,43.65,,581.0588235294117,135,,4.333333333333333,,12,60,2022,494.4613899613899
Busiro,155,738,3.046728972,3.046728972,3.046728972,0,0,3.046728972,0,,0,0,0.009345794,0,0,0,0,0.364485981,0.364485981,0.037383178,0.074766355,0,0.018691589,0.018691589,0.074766355,0.037383178,0.037383178,0,0.028037383,0.046728972,0,0,0.037383178,0.028037383,0.056074766,0,0.037383178,0.14953271,1043.0454545454545,42.878787878787875,1.4863636363636366,48.54545454545455,,,19.75,,194.76923076923077,144,,4.5,,51.6,40,2022,552.1813063063063
Busiro_Tabina,96,475,3.051851852,3.051851852,3.051851852,0,0,3.051851852,0,,0,0,0.014814815,0,0,0,0,0.355555556,0.355555556,0.059259259,0.118518519,0,0.02962963,0.02962963,0.074074074,0.02962963,0.02962963,0,0.02962963,0.044444444,0,0,0.059259259,0.02962963,0.044444444,0,0.059259259,0.148148148,1038.748275862069,46.13793103448276,1.0386363636363638,89.31034483,,,,10,203.42857142857142,,,,7,11,,2022,601.2596944770858
Butaahwa,68,407,3.041666667,0,3.041666667,0,0,0,0,0.003289474,0,0,0.020833333,0,0,0,0,0.354166667,0.354166667,0.0625,0.166666667,0,0.041666667,0.041666667,0.0625,0.041666667,0.041666667,0,0.041666667,0.041666667,0,0,0.041666667,0.041666667,0.020833333,0,0.041666667,0,1995.22,52.7,0.845,24,75.3,,,,,,,13.375,,17.88888888888889,,2022,814.6733722358723
Butambala,153,666,2.493150685,2.493150685,2.493150685,0,0,2.493150685,0,0,0,0,0.00913242,0,0,0,0,0.347031963,0.347031963,0.03652968,0.073059361,0,0.01826484,0.01826484,0.03652968,0.03652968,0.02739726,0,0.02739726,0.03652968,0,0,0.01826484,0.02739726,0.02739726,0,0.01826484,0.01826484,1033.47,42.9,0.4772727272727273,48.6,10,,9.8,200,346.25,150,,2.5,,8,,2022,592.0098752598752
Butare,104,611,3.020408163,3.020408163,3.020408163,0,0,0,0,0,0,0,0.013605442,0,0,0.040816327,0,0.353741497,0.353741497,0.081632653,0.108843537,0.013605442,0.054421769,0.054421769,0.12244898,0.12244898,0.108843537,0,0.108843537,0.12244898,0,0,0.054421769,0.040816327,0.12244898,0,0.027210884,0,0,45.25,0.6041666666666666,70.41666666666667,116.25,,,55,96.66666666666667,,,3.25,,40.142857142857146,107.83333333333333,2022,837.7525987525987
Buvundya,202,875,3.031578947,3.031578947,3.031578947,0,0,3.031578947,0,0,0,0,0.007017544,0,0,0,0,0.357894737,0.357894737,0.028070175,0.056140351,0,0.014035088,0.014035088,0.056140351,0.042105263,0.042105263,0,0.035087719,0.056140351,0,0,0.014035088,0.09122807,0.035087719,0,0.063157895,0.014035088,1028.0451612903225,44.16129032258065,0.7192307692307692,47.54838709677419,172,,5.4,,467,141.66666666666666,,10.4,,16.333333333333332,,2022,416.05033783783784
Buyaayo_A,53,276,3.12,0,3.12,0,0,0,3.12,0,0,0,0.026666667,0,0,0.053333333,0,0.346666667,0.346666667,0.106666667,0.213333333,0.026666667,0.053333333,0.053333333,0.106666667,0.053333333,0.053333333,0,0.053333333,0.053333333,0,0,0.053333333,0,0.053333333,0,0.053333333,0,1339.3416666666667,52.25,1.2841666666666667,71.66666666666667,86.33333333333333,,1,,,,,,,,,2022,572.5448402948404
Buyaayo_B,78,493,3.119266055,0,3.119266055,0,0,0,3.119266055,0,0,0,0.018348624,0,0,0,0,0.366972477,0.366972477,0.073394495,0.146788991,0,0.036697248,0.036697248,0.091743119,0.055045872,0.055045872,0,0.055045872,0.055045872,0,0,0.036697248,0,0.055045872,0,0.036697248,0,0,46,0.6358333333333334,70.83333333333333,106,,,,,,,,,56,250,2022,706.0246768507637
Buyaayo_C,53,306,3.162162162,0,3.162162162,0,0,0,3.162162162,0,0,0,0.027027027,0,0,0,0,0.351351351,0.351351351,0.108108108,0.216216216,0,0.054054054,0.054054054,0.108108108,0.054054054,0.054054054,0,0.054054054,0.054054054,0,0,0.054054054,0,0.054054054,0,0.054054054,0,1555.9666666666665,43.75,1.75,68.33333333333333,88.14285714285714,,5,,17.333333333333332,,,9.6,,68,62.857142857142854,2022,565.5170387779083
Bwambali,44,259,3.096774194,0,3.096774194,0,0,0,0,0.005266623,0,0,0.032258065,0,0,0,0,0.35483871,0.35483871,0.129032258,0.258064516,0,0.064516129,0.064516129,0.032258065,0.032258065,0.032258065,0,0.032258065,0.032258065,0,0,0.064516129,0.032258065,0.032258065,0,0.064516129,0,1964.5083333333332,55,1.3666666666666665,27.166666666666668,150.9090909090909,,,450,,,,4.35,,9.5,,2022,864.5822072072073
Bwegiragye,140,701,3.02020202,3.02020202,3.02020202,0,0,3.02020202,0,,0,0,0.01010101,0,0,0.01010101,0,0.353535354,0.353535354,0.02020202,0.080808081,0.01010101,0.02020202,0.02020202,0.080808081,0.050505051,0.04040404,0,0.04040404,0.050505051,0,0,0.02020202,0,0.050505051,0,0.02020202,0,1040.1033333333332,48.03333333333333,1.5379310344827586,33.43333333333333,167.63636363636363,5,2.1,,78.33333333333333,110,,3,,187.65384615384616,284.29411764705884,2022,1017.2106244175209
Bwehare,55,274,3.090909091,3.090909091,3.090909091,0,0,0,0,,0,0,0.025974026,0,0,0,0,0.363636364,0.363636364,0.051948052,0.051948052,0,0.051948052,0.051948052,0.051948052,0.051948052,0.025974026,0,0.025974026,0.051948052,0,0,0.051948052,0,0.051948052,0,0.051948052,0,1666.5,50.25,1.2933333333333332,34.583333333333336,92.27272727272727,,5.5,,,125,,3.590909090909091,100,53.833333333333336,47.5,2022,675.5252643948296
Bweronde,187,954,3.015151515,3.015151515,3.015151515,0,0,0,0,,0,0,0.007575758,0,0,0.007575758,0,0.356060606,0.356060606,0.03030303,0.060606061,0.007575758,0.015151515,0.015151515,0.068181818,0.068181818,0.068181818,0,0.053030303,0.053030303,0,0,0.015151515,0.037878788,0.068181818,0,0.015151515,0,1299.5,50.083333333333336,1.5374999999999999,17.166666666666668,46.57142857142857,,114.5,,202,119,,3.75,98,47.833333333333336,116.5,2022,971.6916916916917
Bwisanga_Isalo,68,334,3.072164948,3.072164948,3.072164948,0,0,3.072164948,0,0,0,0,0.020618557,0,0,0,0,0.350515464,0.350515464,0.082474227,0.164948454,0,0.041237113,0.041237113,0.082474227,0.041237113,0.020618557,0,0.020618557,0.041237113,0,0,0.020618557,0.041237113,0.041237113,0,0.020618557,0.020618557,992.0666666666667,45.083333333333336,1.0499999999999998,46.458333333333336,56.75,,9.1,,448.22222222222223,155,,9.666666666666666,,6,,2022,442.2310167310167
Habuhinga,79,454,3.081081081,0,3.081081081,0,0,0,0,0.002882883,0,0,0.018018018,0,0,0,0,0.36036036,0.36036036,0.072072072,0.144144144,0,0.036036036,0.036036036,0.018018018,0.018018018,0.018018018,0,0.018018018,0.018018018,0,0,0.036036036,0.018018018,0.036036036,0,0.036036036,0,2026.9750000000001,50.333333333333336,1,50.25,158,,,,,,,3.9285714285714284,,25,,2022,754.8777348777348
Iguliryo,102,494,3.090909091,3.090909091,3.090909091,0,0,3.090909091,0,,0,0,0.013986014,0,0,0,0,0.363636364,0.363636364,0.055944056,0.111888112,0,0.027972028,0.027972028,0.06993007,0.041958042,0.041958042,0,0.027972028,0.041958042,0,0,0.055944056,0.027972028,0.055944056,0,0.055944056,0.153846154,1026.7935483870967,42.12903225806452,1.1416666666666666,56.774193548387096,34,,16.666666666666668,,329,,,8,,14,,2022,453.8198198198198
Ihunga,138,672,3.016260163,0,3.016260163,0,0,0,0,,0,0,0.008130081,0,0,0.008130081,0,0.284552846,0.284552846,0.032520325,0.06504065,0.008130081,0.016260163,0.016260163,0.048780488,0.032520325,0.024390244,0,0.024390244,0.032520325,0,0,0.016260163,0.024390244,0.032520325,0,0.016260163,0,2070.976923076923,41.53846153846154,0.5115384615384616,55.76923076923077,115.54545454545455,20.625,,,,,,4.5,,4.666666666666667,,2022,776.7220077220078
Iraaro,172,742,3.011764706,3.011764706,3.011764706,0,0,0,0,0.002097583,0,0,0.007843137,0,0,0,0,0.337254902,0.337254902,0.031372549,0.015686275,0,0.015686275,0.015686275,0.039215686,0.023529412,0.023529412,0,0.023529412,0.023529412,0,0,0.023529412,0.023529412,0.023529412,0,0.015686275,0,1410.8625,40,2.59375,83.125,14,,5,,,260,,15,,95,146.66666666666666,2022,712.3257722007721
Irangara,116,650,3.054545455,0,3.054545455,0,0,0,3.054545455,0,0,0,0.012121212,0,0,0.036363636,0,0.351515152,0.351515152,0.024242424,0.024242424,0.012121212,0.024242424,0.024242424,0.060606061,0.036363636,0.036363636,0,0.036363636,0.036363636,0,0,0.036363636,0.036363636,0.048484848,0,0.024242424,0,1697.0333333333335,42.916666666666664,1.5999999999999999,68.75,101.3,,2,,,,,2,,83.27272727272727,75,2022,645.8667287977632
Ireehe,94,441,2.575757576,2.575757576,2.575757576,0,0,2.575757576,0,0,0,0,0.015151515,0,0,0,0,0.363636364,0.363636364,0.060606061,0.121212121,0,0.03030303,0.03030303,0.045454545,0.045454545,0.03030303,0,0.03030303,0.045454545,0,0,0.03030303,0.03030303,0.03030303,0,0.03030303,0.03030303,1034.4333333333334,39.041666666666664,1.0738095238095238,64.20833333333333,72.5,,6.333333333333333,,416,,,3,,26.22222222222222,70,2022,560.8944658944658
Kabungo,98,602,3.02189781,0,3.02189781,0,0,0,0,0.003277223,0,0,0.01459854,0,0,0,0,0.364963504,0.364963504,0.058394161,0.116788321,0,0.02919708,0.02919708,0.058394161,0.04379562,0.04379562,0,0.04379562,0.04379562,0,0,0.02919708,0.02919708,0.04379562,0,0.02919708,0,1403.6666666666667,48,0.6379166666666666,51.25,66.25,,,,29,,,,,,37.5,2022,862.1621621621622
Kaburara,150,791,4.194805195,4.194805195,0,0,0,4.194805195,0,,0,0,0.012987013,0,0,0,0,0.493506494,0.493506494,0.051948052,0.103896104,0,0.025974026,0.025974026,0.067532468,0.045454545,0.045454545,0,0.045454545,0.045454545,0,0,0.025974026,0.033766234,0.045454545,0,0.025974026,0,1218.2,46.916666666666664,1.5708333333333335,42.5,71.125,,5,200,21.5,,,7.6,70,40.90909090909091,73.33333333333333,2022,637.0330330330331
Kacerere_Bufundi,101,605,3.085714286,0,3.085714286,0,0,0,0,0.007355021,0,0,0.014285714,0,0,0,0,0.357142857,0.357142857,0.057142857,0.114285714,0,0.028571429,0.028571429,0.071428571,0.071428571,0.042857143,0,0.071428571,0.042857143,0,0,0.028571429,0.071428571,0.071428571,0,0.028571429,0,2050.6384615384613,47.61538461538461,1.0653846153846154,21,161.66666666666666,6.333333333333333,,,,,,4.416666666666667,,6.6,,2022,924.7362162162162
Kagali,106,521,3.053191489,0,3.053191489,0,0,0,0,,0,0,0.010638298,0,0,0,0,0.281914894,0.281914894,0.042553191,0.085106383,0,0.021276596,0.021276596,0.042553191,0.031914894,0.031914894,0,0.021276596,0.021276596,0,0,0.042553191,0.021276596,0.031914894,0,0.042553191,0,2007.8916666666667,42.833333333333336,0.9058333333333334,23.75,150.66666666666666,18.5,,250,,,,5.666666666666667,,12.25,,2022,791.1870870870871
Kagando_Kyabakara,122,734,4.046511628,4.046511628,4.046511628,0,0,4.046511628,0,0,0,0,0.011627907,0,0,0.058139535,0,0.360465116,0.360465116,0.046511628,0.093023256,0.011627907,0.023255814,0.023255814,0.104651163,0.069767442,0.069767442,0,0.069767442,0.069767442,0,0,0.023255814,0.069767442,0.069767442,0,0.023255814,0,1029.5827586206897,50.172413793103445,0.7258620689655173,30.344827586206897,91.57142857142857,,3,,65,57.5,,,35,89.375,136.875,2022,749.8359739049395
Kagarama_Nyabubare,120,598,3.023529412,3.023529412,3.023529412,0,0,3.023529412,0,,0,0,0.011764706,0,0,0.011764706,0,0.352941176,0.352941176,0.023529412,0.094117647,0.011764706,0.023529412,0.023529412,0.055294118,0.028235294,0.037647059,0,0.028235294,0.037647059,0,0,0.023529412,0,0.045882353,0,0.023529412,0,1083.5733333333333,46.7,1.1620689655172414,38.833333333333336,107.5,5,5.5,,65,,,,112.5,116.57142857142857,212.63636363636363,2022,806.3079150579151
Kagogo,191,964,3.017857143,0,3.017857143,0,0,0,0,,0,0,0.005952381,0,0,0,0,0.285714286,0.285714286,0.023809524,0.047619048,0,0.011904762,0.011904762,0.047619048,0.035714286,0.023809524,0,0.023809524,0.035714286,0,0,0.011904762,0.023809524,0.029761905,0,0.011904762,0,2004.86,52.9,0.5,46,162,13.666666666666666,,,,,,6.333333333333333,,3.75,,2022,837.8238238238238
Kagugo_Kacerere,37,240,3.107692308,0,3.107692308,0,0,0,0,0.010135747,0,0,0.030769231,0,0,0,0,0.276923077,0.276923077,0.123076923,0.246153846,0,0.061538462,0.061538462,0.061538462,0.061538462,0.061538462,0,0.061538462,0.061538462,0,0,0.061538462,0.061538462,0.061538462,0,0.061538462,0,2043.6363636363637,46.81818181818182,0.8409090909090909,65.90909091,124.9090909090909,,,,,,,8.55,,7.454545454545454,,2022,959.0529279
Kagunga_Kagunga,132,760,3.032258065,0,3.032258065,0,0,0,0,0.001755541,0,0,0.010752688,0,0,0,0,0.35483871,0.35483871,0.043010753,0.086021505,0,0.021505376,0.021505376,0.032258065,0.032258065,0.032258065,0,0.032258065,0.032258065,0,0,0.021505376,0.032258065,0.032258065,0,0.021505376,0,2123.1846153846154,53.23076923076923,1.1261538461538463,71.15384615384616,123.72727272727273,16,,,,,,6.554545454545454,,21.25,,2022,566.7187187187187
Kakari_I_A,86,505,4.033057851,0,4.033057851,0,0,4.033057851,0,0,0,0,0.016528926,0,0,0,0,0.710743802,0.710743802,0.066115702,0.132231405,0,0.033057851,0.033057851,0.115702479,0.115702479,0.099173554,0,0.099173554,0.099173554,0,0,0.082644628,0.099173554,0.132231405,0,0.033057851,0,1010.7041666666668,44.25,1.1434782608695653,15.041666666666666,234.11764705882354,16.4,7,,199,,,,60,223.25,218.57142857142858,2022,872.8495887191539
