pre_village,hhs,hot_pepper_tins_organic_pesticides,derris_tin_organic_pesticides,neem_kg_organic_pesticides,onions_bags_organic_pesticides,tephrosia_kgs_organic_pesticides,garlic_kgs_organic_pesticides,ginger_kgs_organic_pesticides,plastic_tanks_120_ltrs_liquid_manure,sacks_liquid_manure,sisal_rope_liquid_manure,filter_liquid_manure,mortar_&_pestle_liquid_manure,hoes_tools,spades_tools,pick_axes_tools,forked_spades_tools,forked_hoes_tools,pangas_tools,secateurs_tools,gloves_tools,wheelbarrows_tools,trowels_tools,watering_cans_tools,jerrican_tools,spray_pumps_tools,turplins_tools,Beans_seeds,Maize_seeds,Soyabean_seeds,Gnuts_seeds,Onions(Basin)_seeds,Rice_seeds,Field Peas_seeds,Sweet potatoes(Bags),Millet_seeds,Irish Potatoes_seeds,Cassava (bags),Mugavu tree seedlings,Onions (Kg)_seeds,Millet.1_seeds,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort,Agriculture Value (USD)
Buhamba,150.0,0.009389671,0.0,0.0,0.009389671,0.0,0.356807512,0.356807512,0.037558685,0.075117371,0.009389671,0.018779343,0.018779343,0.037558685,0.037558685,0.037558685,0.0,0.037558685,0.037558685,0.0,0.0,0.018779343,0.037558685,0.046948357,0.0,0.018779343,0.0,3.0,3.0,,3.0,,,,,,,,,,,1438.2416666666668,55.16666666666666,1.6510416666666667,28.33333333333333,118.75,,,,195.375,,,,,172.5,140.0,2022.0,707.0873873873875
Buhanyura,153.0,0.007462687,0.0,0.0,0.007462687,0.0,0.285447761,0.285447761,0.029850746,0.059701493,0.007462687,0.014925373,0.014925373,0.044776119,0.029850746,0.029850746,0.0,0.02238806,0.02238806,0.0,0.0,0.029850746,0.02238806,0.037313433,0.0,0.029850746,0.0,3.0,3.0,,,,,,,,0.5,,,,,1960.9,51.09090909090909,1.2336363636363636,20.454545454545453,101.5,7.5,,,75.0,,,7.611111111111111,,16.0,,2022.0,654.8675675675676
Buhasha A1,118.0,0.016949153,0.016949153,0.0,0.033898305,0.0,0.0,0.0,0.016949153,0.033898305,0.033898305,0.033898305,0.033898305,0.167064439,0.119331742,0.119331742,0.0,0.119331742,0.0,0.0,0.0,0.016949153,0.0,0.190930788,0.0,0.0,0.0,4.0,,2.0,4.0,,,,,,,,,,,796.0,47.333333333333336,1.25,40.0,110.85714285714286,,,,,40.0,,2.6666666666666665,,119.16666666666669,83.11111111111111,2020.0,553.2995495495495
Buhasha A2,86.0,0.023255814,0.023255814,0.0,0.046511628,0.0,0.0,0.0,0.023255814,0.046511628,0.0,0.046511628,0.046511628,0.167064439,0.119331742,0.119331742,0.0,0.119331742,0.0,0.0,0.0,0.023255814,0.0,0.190930788,0.0,0.0,0.0,4.0,,2.0,4.0,,,,,,,,,,,1639.1384615384616,49.0,0.7692307692307693,41.76923076923077,29.0,,,,,,,,,90.0,85.0,2020.0,1065.9539312039312
Buhasha B1,70.0,0.028571429,0.028571429,0.0,0.057142857,0.0,0.0,0.0,0.028571429,0.057142857,0.0,0.057142857,0.057142857,0.167064439,0.119331742,0.119331742,0.0,0.119331742,0.0,0.0,0.0,0.028571429,0.0,0.190930788,0.0,0.0,0.0,4.0,,2.0,4.0,,,,,,,,,,,1410.475,48.66666666666666,1.2083333333333333,44.0,50.90909090909091,,1.0,,,,,1.7,92.5,36.0,1.8,2020.0,630.8603603603603
Buhasha B2,52.0,0.038461538,0.038461538,0.0,0.076923077,0.0,0.0,0.0,0.038461538,0.076923077,0.0,0.076923077,0.076923077,0.167064439,0.119331742,0.119331742,0.0,0.119331742,0.0,0.0,0.0,0.038461538,0.0,0.190930788,0.0,0.0,0.0,4.0,,2.0,4.0,,,,,,,,,,,1614.8583333333331,51.083333333333336,1.086666666666667,80.0,69.875,,,,45.0,,,5.875,30.0,225.25,75.55555555555556,2020.0,904.5596846846848
Buhasha B3,46.0,0.043478261,0.043478261,0.0,0.086956522,0.0,0.0,0.0,0.043478261,0.086956522,0.0,0.086956522,0.086956522,0.217391304,0.119331742,0.217391304,0.0,0.217391304,0.0,0.0,0.0,0.043478261,0.0,0.190930788,0.0,0.0,0.0,4.0,,2.0,4.0,,,,,,,,,,,805.3916666666667,50.583333333333336,1.34375,59.333333333333336,92.5,,4.0,,53.333333333333336,,,9.166666666666666,,157.5,310.0,2020.0,373.43360752056407
Buhumuriro,72.0,0.020618557,0.0,0.0,0.041237113,0.0,0.371134021,0.371134021,0.0,0.041237113,0.041237113,0.041237113,0.041237113,0.096775494,0.096775494,0.096775494,0.0,0.096775494,0.096775494,0.0,0.0,0.041237113,0.0,0.096775494,0.0,0.0,0.0,3.0,,3.0,3.0,,,,,,,,,,,0.0,50.75,1.15,48.75,145.0,,,250.0,30.0,,,7.0,,148.66666666666666,,,1037.761526182353
Bujengwe,68.0,0.029411765,0.029411765,0.0,0.058823529,0.029411765,0.0,0.0,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.177865613,0.177865613,0.118577075,0.158102767,0.158102767,0.0,0.0,0.0,0.0,0.0,0.205882353,0.0,0.088235294,0.0,4.0,2.0,,4.0,,,,,,,,,,,1415.1818181818182,51.54545454545455,1.2954545454545454,47.90909090909091,47.6,,,,90.0,,,,,82.875,40.0,2020.0,679.7825552825552
Bujerengye,72.0,0.027777778,0.0,0.0,0.055555556,0.013888889,0.25,0.25,0.055555556,0.055555556,0.0,0.055555556,0.055555556,0.172711572,0.172711572,0.172711572,0.0,0.172711572,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.055555556,0.0,4.0,3.0,,3.0,,,,,,,,,,,1461.0,49.625,1.209375,33.875,80.0,,,,23.0,,,,,33.6,47.2,,650.4112408090909
Bukerahi,169.0,0.01183432,0.0,0.01183432,0.0,0.0,0.0,0.0,0.047337278,0.01183432,0.01183432,0.023668639,0.023668639,0.342857143,0.285714286,0.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171428571,0.0,0.035502959,0.0,3.0,,,,,,3.0,1.0,,,,,,,,47.475,0.0,,,,,,,,,,,,,2020.0,671.1387387387388
Bukere,137.0,0.010362694,0.0,0.0,0.031088083,0.0,0.352331606,0.352331606,0.041450777,0.082901554,0.010362694,0.020725389,0.020725389,0.051813472,0.041450777,0.041450777,0.0,0.031088083,0.051813472,0.0,0.0,0.020725389,0.093264249,0.031088083,0.0,0.062176166,0.020725389,3.0,3.0,3.0,,,,,,,,,,,,1025.6909090909091,47.24242424242424,1.3299999999999998,62.51515151515152,46.66666666666666,,4.25,,550.5882352941177,80.0,,3.333333333333333,,6.555555555555555,28.0,2022.0,553.8518173
Bukono,125.0,0.016,0.0,0.016,0.0,0.0,0.5,0.5,0.032,0.032,0.032,0.032,0.032,0.233918129,0.116959064,0.116959064,0.116959064,0.116959064,0.032,0.0,0.0,0.032,0.0,0.288,0.0,0.048,0.0,3.0,,,3.0,,,,,,,,,,,1420.5,46.3,1.1249,25.2,67.85714285714286,4.5,4.6,,40.2,,,6.5,72.0,89.75,72.14285714285714,2020.0,520.9414414414414
Bunabiro,91.0,0.015625,0.0,0.0,0.0,0.0,0.359375,0.359375,0.0625,0.125,0.0,0.03125,0.03125,0.03125,0.03125,0.03125,0.0,0.03125,0.03125,0.0,0.0,0.03125,0.03125,0.03125,0.0,0.03125,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1055.2821428571428,41.35714285714285,1.608,88.42857142857143,61.25,,42.0,,322.0,74.5,,85.75,,11.444444444444445,,2022.0,528.9371327849589
Bunagana,40.0,0.036363636,0.0,0.0,0.0,0.0,0.363636364,0.363636364,0.072727273,0.290909091,0.0,0.072727273,0.072727273,0.072727273,0.036363636,0.036363636,0.0,0.036363636,0.036363636,0.0,0.0,0.036363636,0.036363636,0.036363636,0.0,0.072727273,0.0,3.0,3.0,,,,,,,,0.25,,,,,2095.2727272727275,41.90909090909091,1.554545454545455,75.0,92.54545454545456,7.0,,,,,,6.0,,6.6,0.0,2022.0,693.9292149292149
Buniga,50.0,0.022727273,0.0,0.0,0.113636364,0.0,0.295454545,0.295454545,0.090909091,0.181818182,0.022727273,0.045454545,0.045454545,0.068181818,0.068181818,0.068181818,0.0,0.068181818,0.045454545,0.0,0.0,0.045454545,0.045454545,0.068181818,0.0,0.045454545,0.0,3.0,3.0,,,,,,,,0.5,,,,,2063.746153846154,48.46153846153846,0.8638461538461539,27.307692307692307,152.08333333333334,18.166666666666668,,,,,,4.055555555555555,,20.444444444444443,,2022.0,860.0042528
Bunyinya,72.0,0.01980198,0.0,0.0,0.0,0.0,0.356435644,0.356435644,0.03960396,0.03960396,0.0,0.03960396,0.03960396,0.059405941,0.03960396,0.01980198,0.0,0.01980198,0.03960396,0.0,0.0,0.03960396,0.0,0.03960396,0.0,0.03960396,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1653.675,51.5,1.5458333333333334,30.83333333333333,145.0,,,,,,,20.0,,55.0,45.875,2022.0,679.7267920094007
Burambo,118.0,0.010810811,0.0,0.0,0.021621622,0.0,0.318918919,0.318918919,0.064864865,0.259459459,0.010810811,0.086486486,0.086486486,0.103797858,0.103797858,0.103797858,0.0,0.103797858,0.103797858,0.0,0.0,0.021621622,0.0,0.103797858,0.0,0.0,0.207595716,4.0,4.0,,,,,4.0,,,,,,,,2020.109090909091,50.09090909090909,0.7599999999999999,71.90909091,139.33333333333334,5.0,,,,,,5.2,,5.0,,,671.5100901083333
Buranda,74.0,0.018691589,0.0,0.0,0.037383178,0.009345794,0.345794393,0.345794393,0.037383178,0.037383178,0.018691589,0.037383178,0.037383178,0.096590612,0.096590612,0.096590612,0.0,0.096590612,0.096590612,0.0,0.0,0.037383178,0.093457944,0.093457944,0.0,0.037383178,0.0,4.0,3.0,,4.0,,,,,,,,,,,1276.0,44.53846153846154,1.75,46.92307692307692,415.625,,10.5,,1300.0,60.0,,7.5,,87.5,97.5,,872.9433719095238
Burera,103.0,0.02,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.038834951,0.038834951,0.140350877,0.140350877,0.140350877,0.0,0.140350877,0.0,0.0,0.0,0.019417476,0.0,0.187134503,0.0,0.019417476,0.0,4.0,,4.0,3.0,,,,,,,,,,,822.3333333333334,44.833333333333336,1.1708333333333334,32.083333333333336,98.75,,,,32.0,,,8.95,,149.0,100.0,,672.1418918708333
Busege,90.0,0.015748031,0.0,0.0,0.015748031,0.0,0.362204724,0.362204724,0.062992126,0.125984252,0.015748031,0.031496063,0.031496063,0.078740157,0.031496063,0.031496063,0.0,0.031496063,0.047244094,0.0,0.0,0.062992126,0.031496063,0.047244094,0.0,0.062992126,0.141732283,3.0,3.0,3.0,3.0,,,,,,,,,,,966.54,35.5,1.55,67.06666666666666,67.5,,83.3,,382.4761904761905,90.0,,,,20.714285714285715,,2022.0,474.791769
Buseru,111.0,0.012738854,0.0,0.0,0.0,0.0,0.356687898,0.356687898,0.050955414,0.101910828,0.0,0.025477707,0.025477707,0.038216561,0.038216561,0.025477707,0.0,0.025477707,0.038216561,0.0,0.0,0.025477707,0.025477707,0.025477707,0.0,0.025477707,0.025477707,3.0,3.0,3.0,,,,,,,,,,,,1028.6911764705883,39.588235294117645,0.7177083333333334,77.64705882,55.0,,5.4,,431.3684210526316,,,,,40.8,190.0,2022.0,515.6167953667954
Buseta,55.0,0.026666667,0.0,0.0,0.026666667,0.0,0.373333333,0.373333333,0.106666667,0.213333333,0.026666667,0.053333333,0.053333333,0.08,0.053333333,0.026666667,0.0,0.026666667,0.053333333,0.0,0.0,0.026666667,0.053333333,0.053333333,0.0,0.026666667,0.026666667,3.0,3.0,3.0,,,,,,,,,,,,1033.662962962963,39.0,1.3199999999999998,42.5925925925926,115.0,,25.5,,335.2307692307692,33.0,,4.0,,7.545454545454546,150.0,2022.0,536.1441441441442
Bushaara,49.0,0.028985507,0.0,0.0,0.0,0.0,0.347826087,0.347826087,0.057971014,0.231884058,0.0,0.057971014,0.057971014,0.057971014,0.028985507,0.028985507,0.0,0.028985507,0.028985507,0.0,0.0,0.028985507,0.028985507,0.028985507,0.0,0.057971014,0.0,3.0,3.0,,,,,,,,0.25,,,,,2090.5636363636363,45.81818181818182,2.326363636363636,96.36363636363636,195.55555555555557,10.666666666666666,,,,,,11.166666666666666,,41.5,500.0,2022.0,983.6423186
Bushambara,82.0,0.01754386,0.0,0.0,0.0,0.0,0.368421053,0.368421053,0.070175439,0.140350877,0.0,0.035087719,0.035087719,0.035087719,0.035087719,0.035087719,0.0,0.035087719,0.035087719,0.0,0.0,0.035087719,0.035087719,0.035087719,0.0,0.035087719,0.0,3.0,3.0,,,,,,,,0.25,,,,,2022.0333333333333,53.833333333333336,1.6208333333333331,37.75,240.41666666666663,,,346.25,,,,173.16666666666666,,30.0,,2022.0,819.5450205640424
Bushura,96.0,0.020833333,0.0,0.020833333,0.0,0.0,0.020833333,0.020833333,0.041666667,0.0625,0.020833333,0.041666667,0.041666667,0.225776105,0.225776105,0.112888053,0.112888053,0.112888053,0.0,0.0,0.0,0.020833333,0.0,0.270833333,0.0,0.0625,0.0,4.0,,,4.0,,,,,2.0,,,,,,1425.5,49.2,0.925,39.0,27.0,,,,123.0,,,,,62.5,160.0,2020.0,662.6556991774382
Bushure,130.0,0.010810811,0.0,0.0,0.021621622,0.0,0.0,0.0,0.064864865,0.259459459,0.010810811,0.086486486,0.086486486,0.093944212,0.093944212,0.093944212,0.0,0.093944212,0.093944212,0.0,0.0,0.021621622,0.0,0.093944212,0.0,0.0,0.187888423,3.0,3.0,,,,,3.0,,,,,,,,1998.0,54.333333333333336,0.5833333333333334,71.66666666666667,109.33333333333331,7.25,,152.5,,,,27.714285714285715,,,,,542.0343980424242
Busiginyi,96.0,0.014925373,0.0,0.0,0.0,0.0,0.358208955,0.358208955,0.059701493,0.119402985,0.0,0.029850746,0.029850746,0.074626866,0.044776119,0.029850746,0.0,0.029850746,0.044776119,0.0,0.0,0.014925373,0.044776119,0.044776119,0.0,0.014925373,0.014925373,3.0,3.0,3.0,,,,,,,,,,,,1032.0538461538465,42.30769230769231,0.9522727272727272,45.07692307692308,120.0,,43.65,,581.0588235294117,135.0,,4.333333333333333,,12.0,60.0,2022.0,494.4613899613899
Busiro,155.0,0.009345794,0.0,0.0,0.0,0.0,0.364485981,0.364485981,0.037383178,0.074766355,0.0,0.018691589,0.018691589,0.074766355,0.037383178,0.037383178,0.0,0.028037383,0.046728972,0.0,0.0,0.037383178,0.028037383,0.056074766,0.0,0.037383178,0.14953271,3.0,3.0,3.0,3.0,,,,,,,,,,,1043.0454545454545,42.87878787878788,1.4863636363636366,48.54545454545455,,,19.75,,194.7692307692308,144.0,,4.5,,51.6,40.0,2022.0,552.1813063063063
Busiro_Tabina,96.0,0.014814815,0.0,0.0,0.0,0.0,0.355555556,0.355555556,0.059259259,0.118518519,0.0,0.02962963,0.02962963,0.074074074,0.02962963,0.02962963,0.0,0.02962963,0.044444444,0.0,0.0,0.059259259,0.02962963,0.044444444,0.0,0.059259259,0.148148148,3.0,3.0,3.0,3.0,,,,,,,,,,,1038.748275862069,46.13793103448276,1.0386363636363638,89.31034483,,,,10.0,203.42857142857144,,,,7.0,11.0,,2022.0,601.2596944770858
Butaahwa,68.0,0.020833333,0.0,0.0,0.0,0.0,0.354166667,0.354166667,0.0625,0.166666667,0.0,0.041666667,0.041666667,0.0625,0.041666667,0.041666667,0.0,0.041666667,0.041666667,0.0,0.0,0.041666667,0.041666667,0.020833333,0.0,0.041666667,0.0,3.0,3.0,,,,,,,,0.25,,,,,1995.22,52.7,0.845,24.0,75.3,,,,,,,13.375,,17.88888888888889,,2022.0,814.6733722358723
Butambala,153.0,0.00913242,0.0,0.0,0.0,0.0,0.347031963,0.347031963,0.03652968,0.073059361,0.0,0.01826484,0.01826484,0.03652968,0.03652968,0.02739726,0.0,0.02739726,0.03652968,0.0,0.0,0.01826484,0.02739726,0.02739726,0.0,0.01826484,0.01826484,3.0,3.0,3.0,,,,,,,,,,,,1033.47,42.9,0.4772727272727273,48.6,10.0,,9.8,200.0,346.25,150.0,,2.5,,8.0,,2022.0,592.0098752598752
Butoboore,80.0,0.017391304,0.0,0.0,0.034782609,0.0,0.347826087,0.347826087,0.104347826,0.417391304,0.0,0.139130435,0.139130435,0.113206212,0.113206212,0.113206212,0.0,0.113206212,0.113206212,0.0,0.0,0.034782609,0.0,0.113206212,0.0,0.0,0.226412424,4.0,4.0,,,,,4.0,,,,,,,,2069.9727272727278,36.90909090909091,1.5772727272727274,71.36363636363636,184.1,,,140.0,,,,6.833333333333333,,7.0,,,750.6216216142857
Butusi,135.0,0.010416667,0.0,0.0,0.020833333,0.0,0.0,0.0,0.0625,0.25,0.0,0.083333333,0.083333333,0.094000668,0.094000668,0.094000668,0.0,0.094000668,0.094000668,0.0,0.0,0.020833333,0.0,0.094000668,0.0,0.0,0.188001337,3.0,3.0,,,,,3.0,,,,,,,,1540.7666666666669,59.66666666666666,1.7055555555555555,59.44444444444444,102.0,11.0,,,,,,3.75,,40.0,,,543.2736883911765
Buvundya,202.0,0.007017544,0.0,0.0,0.0,0.0,0.357894737,0.357894737,0.028070175,0.056140351,0.0,0.014035088,0.014035088,0.056140351,0.042105263,0.042105263,0.0,0.035087719,0.056140351,0.0,0.0,0.014035088,0.09122807,0.035087719,0.0,0.063157895,0.014035088,3.0,3.0,3.0,,,,,,,,,,,,1028.0451612903223,44.16129032258065,0.7192307692307692,47.54838709677419,172.0,,5.4,,467.0,141.66666666666666,,10.4,,16.333333333333332,,2022.0,416.0503378378378
Bwambali,44.0,0.032258065,0.0,0.0,0.0,0.0,0.35483871,0.35483871,0.129032258,0.258064516,0.0,0.064516129,0.064516129,0.032258065,0.032258065,0.032258065,0.0,0.032258065,0.032258065,0.0,0.0,0.064516129,0.032258065,0.032258065,0.0,0.064516129,0.0,3.0,3.0,,,,,,,,0.25,,,,,1964.5083333333328,55.0,1.3666666666666665,27.166666666666668,150.9090909090909,,,450.0,,,,4.35,,9.5,,2022.0,864.5822072072073
Bwegiragye,140.0,0.01010101,0.0,0.0,0.01010101,0.0,0.353535354,0.353535354,0.02020202,0.080808081,0.01010101,0.02020202,0.02020202,0.080808081,0.050505051,0.04040404,0.0,0.04040404,0.050505051,0.0,0.0,0.02020202,0.0,0.050505051,0.0,0.02020202,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1040.1033333333332,48.03333333333333,1.5379310344827586,33.43333333333333,167.63636363636363,5.0,2.1,,78.33333333333333,110.0,,3.0,,187.65384615384616,284.29411764705884,2022.0,1017.2106244175208
Bwehare,55.0,0.025974026,0.0,0.0,0.0,0.0,0.363636364,0.363636364,0.051948052,0.051948052,0.0,0.051948052,0.051948052,0.051948052,0.051948052,0.025974026,0.0,0.025974026,0.051948052,0.0,0.0,0.051948052,0.0,0.051948052,0.0,0.051948052,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1666.5,50.25,1.2933333333333332,34.583333333333336,92.27272727272728,,5.5,,,125.0,,3.590909090909091,100.0,53.833333333333336,47.5,2022.0,675.5252643948296
Bweronde,187.0,0.007575758,0.0,0.0,0.007575758,0.0,0.356060606,0.356060606,0.03030303,0.060606061,0.007575758,0.015151515,0.015151515,0.068181818,0.068181818,0.068181818,0.0,0.053030303,0.053030303,0.0,0.0,0.015151515,0.037878788,0.068181818,0.0,0.015151515,0.0,3.0,3.0,,3.0,,,,,,,,,,,1299.5,50.083333333333336,1.5375,17.166666666666668,46.57142857142857,,114.5,,202.0,119.0,,3.75,98.0,47.833333333333336,116.5,2022.0,971.6916916916916
