pre_village,hhs,hot_pepper_tins_organic_pesticides,derris_tin_organic_pesticides,neem_kg_organic_pesticides,onions_bags_organic_pesticides,tephrosia_kgs_organic_pesticides,garlic_kgs_organic_pesticides,ginger_kgs_organic_pesticides,plastic_tanks_120_ltrs_liquid_manure,sacks_liquid_manure,sisal_rope_liquid_manure,filter_liquid_manure,mortar_&_pestle_liquid_manure,hoes_tools,spades_tools,pick_axes_tools,forked_spades_tools,forked_hoes_tools,pangas_tools,secateurs_tools,gloves_tools,wheelbarrows_tools,trowels_tools,watering_cans_tools,jerrican_tools,spray_pumps_tools,turplins_tools,Beans_seeds,Maize_seeds,Soyabean_seeds,Gnuts_seeds,Onions(Basin)_seeds,Rice_seeds,Field Peas_seeds,Sweet potatoes(Bags),Millet_seeds,Irish Potatoes_seeds,Cassava (bags),Mugavu tree seedlings,Onions (Kg)_seeds,Millet.1_seeds,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort,Agriculture Value (USD)
Buhanyura,153.0,0.007462687,0.0,0.0,0.007462687,0.0,0.285447761,0.285447761,0.029850746,0.059701493,0.007462687,0.014925373,0.014925373,0.044776119,0.029850746,0.029850746,0.0,0.02238806,0.02238806,0.0,0.0,0.029850746,0.02238806,0.037313433,0.0,0.029850746,0.0,3.0,3.0,,,,,,,,0.5,,,,,1960.9,51.09090909090909,1.2336363636363636,20.454545454545453,101.5,7.5,,,75.0,,,7.611111111111111,,16.0,,2022.0,654.8675675675676
Bukere,137.0,0.010362694,0.0,0.0,0.031088083,0.0,0.352331606,0.352331606,0.041450777,0.082901554,0.010362694,0.020725389,0.020725389,0.051813472,0.041450777,0.041450777,0.0,0.031088083,0.051813472,0.0,0.0,0.020725389,0.093264249,0.031088083,0.0,0.062176166,0.020725389,3.0,3.0,3.0,,,,,,,,,,,,1025.6909090909091,47.24242424242424,1.3299999999999998,62.515151515151516,46.666666666666664,,4.25,,550.5882352941177,80.0,,3.3333333333333335,,6.555555555555555,28.0,2022.0,553.851817334576
Bunabiro,91.0,0.015625,0.0,0.0,0.0,0.0,0.359375,0.359375,0.0625,0.125,0.0,0.03125,0.03125,0.03125,0.03125,0.03125,0.0,0.03125,0.03125,0.0,0.0,0.03125,0.03125,0.03125,0.0,0.03125,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1055.2821428571428,41.357142857142854,1.608,88.42857142857143,61.25,,42.0,,322.0,74.5,,85.75,,11.444444444444445,,2022.0,528.9371327849589
Bunagana,40.0,0.036363636,0.0,0.0,0.0,0.0,0.363636364,0.363636364,0.072727273,0.290909091,0.0,0.072727273,0.072727273,0.072727273,0.036363636,0.036363636,0.0,0.036363636,0.036363636,0.0,0.0,0.036363636,0.036363636,0.036363636,0.0,0.072727273,0.0,3.0,3.0,,,,,,,,0.25,,,,,2095.2727272727275,41.90909090909091,1.5545454545454547,75.0,92.54545454545455,7.0,,,,,,6.0,,6.6,0.0,2022.0,693.9292149292149
Buniga,50.0,0.022727273,0.0,0.0,0.113636364,0.0,0.295454545,0.295454545,0.090909091,0.181818182,0.022727273,0.045454545,0.045454545,0.068181818,0.068181818,0.068181818,0.0,0.068181818,0.045454545,0.0,0.0,0.045454545,0.045454545,0.068181818,0.0,0.045454545,0.0,3.0,3.0,,,,,,,,0.5,,,,,2063.746153846154,48.46153846153846,0.8638461538461539,27.307692307692307,152.08333333333334,18.166666666666668,,,,,,4.055555555555555,,20.444444444444443,,2022.0,860.004252782194
Bunyinya,72.0,0.01980198,0.0,0.0,0.0,0.0,0.356435644,0.356435644,0.03960396,0.03960396,0.0,0.03960396,0.03960396,0.059405941,0.03960396,0.01980198,0.0,0.01980198,0.03960396,0.0,0.0,0.03960396,0.0,0.03960396,0.0,0.03960396,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1653.675,51.5,1.5458333333333334,30.833333333333332,145.0,,,,,,,20.0,,55.0,45.875,2022.0,679.7267920094007
Busege,90.0,0.015748031,0.0,0.0,0.015748031,0.0,0.362204724,0.362204724,0.062992126,0.125984252,0.015748031,0.031496063,0.031496063,0.078740157,0.031496063,0.031496063,0.0,0.031496063,0.047244094,0.0,0.0,0.062992126,0.031496063,0.047244094,0.0,0.062992126,0.141732283,3.0,3.0,3.0,3.0,,,,,,,,,,,966.5400000000001,35.5,1.55,67.06666666666666,67.5,,83.3,,382.4761904761905,90.0,,,,20.714285714285715,,2022.0,474.791769041769
Buseru,111.0,0.012738854,0.0,0.0,0.0,0.0,0.356687898,0.356687898,0.050955414,0.101910828,0.0,0.025477707,0.025477707,0.038216561,0.038216561,0.025477707,0.0,0.025477707,0.038216561,0.0,0.0,0.025477707,0.025477707,0.025477707,0.0,0.025477707,0.025477707,3.0,3.0,3.0,,,,,,,,,,,,1028.6911764705883,39.588235294117645,0.7177083333333334,77.6470588235294,55.0,,5.4,,431.36842105263156,,,,,40.8,190.0,2022.0,515.6167953667954
Buseta,55.0,0.026666667,0.0,0.0,0.026666667,0.0,0.373333333,0.373333333,0.106666667,0.213333333,0.026666667,0.053333333,0.053333333,0.08,0.053333333,0.026666667,0.0,0.026666667,0.053333333,0.0,0.0,0.026666667,0.053333333,0.053333333,0.0,0.026666667,0.026666667,3.0,3.0,3.0,,,,,,,,,,,,1033.662962962963,39.0,1.3199999999999998,42.592592592592595,115.0,,25.5,,335.2307692307692,33.0,,4.0,,7.545454545454546,150.0,2022.0,536.1441441441442
Bushaara,49.0,0.028985507,0.0,0.0,0.0,0.0,0.347826087,0.347826087,0.057971014,0.231884058,0.0,0.057971014,0.057971014,0.057971014,0.028985507,0.028985507,0.0,0.028985507,0.028985507,0.0,0.0,0.028985507,0.028985507,0.028985507,0.0,0.057971014,0.0,3.0,3.0,,,,,,,,0.25,,,,,2090.5636363636363,45.81818181818182,2.326363636363636,96.36363636363636,195.55555555555554,10.666666666666666,,,,,,11.166666666666666,,41.5,500.0,2022.0,983.642318634424
Bushambara,82.0,0.01754386,0.0,0.0,0.0,0.0,0.368421053,0.368421053,0.070175439,0.140350877,0.0,0.035087719,0.035087719,0.035087719,0.035087719,0.035087719,0.0,0.035087719,0.035087719,0.0,0.0,0.035087719,0.035087719,0.035087719,0.0,0.035087719,0.0,3.0,3.0,,,,,,,,0.25,,,,,2022.0333333333335,53.833333333333336,1.6208333333333333,37.75,240.41666666666666,,,346.25,,,,173.16666666666666,,30.0,,2022.0,819.5450205640424
Busiginyi,96.0,0.014925373,0.0,0.0,0.0,0.0,0.358208955,0.358208955,0.059701493,0.119402985,0.0,0.029850746,0.029850746,0.074626866,0.044776119,0.029850746,0.0,0.029850746,0.044776119,0.0,0.0,0.014925373,0.044776119,0.044776119,0.0,0.014925373,0.014925373,3.0,3.0,3.0,,,,,,,,,,,,1032.0538461538463,42.30769230769231,0.9522727272727273,45.07692307692308,120.0,,43.65,,581.0588235294117,135.0,,4.333333333333333,,12.0,60.0,2022.0,494.4613899613899
Busiro,155.0,0.009345794,0.0,0.0,0.0,0.0,0.364485981,0.364485981,0.037383178,0.074766355,0.0,0.018691589,0.018691589,0.074766355,0.037383178,0.037383178,0.0,0.028037383,0.046728972,0.0,0.0,0.037383178,0.028037383,0.056074766,0.0,0.037383178,0.14953271,3.0,3.0,3.0,3.0,,,,,,,,,,,1043.0454545454545,42.878787878787875,1.4863636363636366,48.54545454545455,,,19.75,,194.76923076923077,144.0,,4.5,,51.6,40.0,2022.0,552.1813063063063
Busiro_Tabina,96.0,0.014814815,0.0,0.0,0.0,0.0,0.355555556,0.355555556,0.059259259,0.118518519,0.0,0.02962963,0.02962963,0.074074074,0.02962963,0.02962963,0.0,0.02962963,0.044444444,0.0,0.0,0.059259259,0.02962963,0.044444444,0.0,0.059259259,0.148148148,3.0,3.0,3.0,3.0,,,,,,,,,,,1038.748275862069,46.13793103448276,1.0386363636363638,89.3103448275862,,,,10.0,203.42857142857142,,,,7.0,11.0,,2022.0,601.2596944770858
Butaahwa,68.0,0.020833333,0.0,0.0,0.0,0.0,0.354166667,0.354166667,0.0625,0.166666667,0.0,0.041666667,0.041666667,0.0625,0.041666667,0.041666667,0.0,0.041666667,0.041666667,0.0,0.0,0.041666667,0.041666667,0.020833333,0.0,0.041666667,0.0,3.0,3.0,,,,,,,,0.25,,,,,1995.22,52.7,0.845,24.0,75.3,,,,,,,13.375,,17.88888888888889,,2022.0,814.6733722358723
Butambala,153.0,0.00913242,0.0,0.0,0.0,0.0,0.347031963,0.347031963,0.03652968,0.073059361,0.0,0.01826484,0.01826484,0.03652968,0.03652968,0.02739726,0.0,0.02739726,0.03652968,0.0,0.0,0.01826484,0.02739726,0.02739726,0.0,0.01826484,0.01826484,3.0,3.0,3.0,,,,,,,,,,,,1033.47,42.9,0.4772727272727273,48.6,10.0,,9.8,200.0,346.25,150.0,,2.5,,8.0,,2022.0,592.0098752598752
Buvundya,202.0,0.007017544,0.0,0.0,0.0,0.0,0.357894737,0.357894737,0.028070175,0.056140351,0.0,0.014035088,0.014035088,0.056140351,0.042105263,0.042105263,0.0,0.035087719,0.056140351,0.0,0.0,0.014035088,0.09122807,0.035087719,0.0,0.063157895,0.014035088,3.0,3.0,3.0,,,,,,,,,,,,1028.0451612903225,44.16129032258065,0.7192307692307692,47.54838709677419,172.0,,5.4,,467.0,141.66666666666666,,10.4,,16.333333333333332,,2022.0,416.05033783783784
Bwambali,44.0,0.032258065,0.0,0.0,0.0,0.0,0.35483871,0.35483871,0.129032258,0.258064516,0.0,0.064516129,0.064516129,0.032258065,0.032258065,0.032258065,0.0,0.032258065,0.032258065,0.0,0.0,0.064516129,0.032258065,0.032258065,0.0,0.064516129,0.0,3.0,3.0,,,,,,,,0.25,,,,,1964.5083333333332,55.0,1.3666666666666665,27.166666666666668,150.9090909090909,,,450.0,,,,4.35,,9.5,,2022.0,864.5822072072073
Bwegiragye,140.0,0.01010101,0.0,0.0,0.01010101,0.0,0.353535354,0.353535354,0.02020202,0.080808081,0.01010101,0.02020202,0.02020202,0.080808081,0.050505051,0.04040404,0.0,0.04040404,0.050505051,0.0,0.0,0.02020202,0.0,0.050505051,0.0,0.02020202,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1040.1033333333332,48.03333333333333,1.5379310344827586,33.43333333333333,167.63636363636363,5.0,2.1,,78.33333333333333,110.0,,3.0,,187.65384615384616,284.29411764705884,2022.0,1017.2106244175209
Bwehare,55.0,0.025974026,0.0,0.0,0.0,0.0,0.363636364,0.363636364,0.051948052,0.051948052,0.0,0.051948052,0.051948052,0.051948052,0.051948052,0.025974026,0.0,0.025974026,0.051948052,0.0,0.0,0.051948052,0.0,0.051948052,0.0,0.051948052,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1666.5,50.25,1.2933333333333332,34.583333333333336,92.27272727272727,,5.5,,,125.0,,3.590909090909091,100.0,53.833333333333336,47.5,2022.0,675.5252643948296
Bweronde,187.0,0.007575758,0.0,0.0,0.007575758,0.0,0.356060606,0.356060606,0.03030303,0.060606061,0.007575758,0.015151515,0.015151515,0.068181818,0.068181818,0.068181818,0.0,0.053030303,0.053030303,0.0,0.0,0.015151515,0.037878788,0.068181818,0.0,0.015151515,0.0,3.0,3.0,,3.0,,,,,,,,,,,1299.5,50.083333333333336,1.5374999999999999,17.166666666666668,46.57142857142857,,114.5,,202.0,119.0,,3.75,98.0,47.833333333333336,116.5,2022.0,971.6916916916917
Bwisanga_Isalo,68.0,0.020618557,0.0,0.0,0.0,0.0,0.350515464,0.350515464,0.082474227,0.164948454,0.0,0.041237113,0.041237113,0.082474227,0.041237113,0.020618557,0.0,0.020618557,0.041237113,0.0,0.0,0.020618557,0.041237113,0.041237113,0.0,0.020618557,0.020618557,3.0,3.0,3.0,,,,,,,,,,,,992.0666666666667,45.083333333333336,1.0499999999999998,46.458333333333336,56.75,,9.1,,448.22222222222223,155.0,,9.666666666666666,,6.0,,2022.0,442.2310167310167
Habuhinga,79.0,0.018018018,0.0,0.0,0.0,0.0,0.36036036,0.36036036,0.072072072,0.144144144,0.0,0.036036036,0.036036036,0.018018018,0.018018018,0.018018018,0.0,0.018018018,0.018018018,0.0,0.0,0.036036036,0.018018018,0.036036036,0.0,0.036036036,0.0,3.0,3.0,,,,,,,,0.25,,,,,2026.9750000000001,50.333333333333336,1.0,50.25,158.0,,,,,,,3.9285714285714284,,25.0,,2022.0,754.8777348777348
Iguliryo,102.0,0.013986014,0.0,0.0,0.0,0.0,0.363636364,0.363636364,0.055944056,0.111888112,0.0,0.027972028,0.027972028,0.06993007,0.041958042,0.041958042,0.0,0.027972028,0.041958042,0.0,0.0,0.055944056,0.027972028,0.055944056,0.0,0.055944056,0.153846154,3.0,3.0,3.0,3.0,,,,,,,,,,,1026.7935483870967,42.12903225806452,1.1416666666666666,56.774193548387096,34.0,,16.666666666666668,,329.0,,,8.0,,14.0,,2022.0,453.8198198198198
Ihunga,138.0,0.008130081,0.0,0.0,0.008130081,0.0,0.284552846,0.284552846,0.032520325,0.06504065,0.008130081,0.016260163,0.016260163,0.048780488,0.032520325,0.024390244,0.0,0.024390244,0.032520325,0.0,0.0,0.016260163,0.024390244,0.032520325,0.0,0.016260163,0.0,3.0,3.0,,,,,,,,0.5,,,,,2070.976923076923,41.53846153846154,0.5115384615384616,55.76923076923077,115.54545454545455,20.625,,,,,,4.5,,4.666666666666667,,2022.0,776.7220077220078
Ireehe,94.0,0.015151515,0.0,0.0,0.0,0.0,0.363636364,0.363636364,0.060606061,0.121212121,0.0,0.03030303,0.03030303,0.045454545,0.045454545,0.03030303,0.0,0.03030303,0.045454545,0.0,0.0,0.03030303,0.03030303,0.03030303,0.0,0.03030303,0.03030303,3.0,3.0,3.0,,,,,,,,,,,,1034.4333333333334,39.041666666666664,1.0738095238095238,64.20833333333333,72.5,,6.333333333333333,,416.0,,,3.0,,26.22222222222222,70.0,2022.0,560.8944658944658
Kaburara,150.0,0.012987013,0.0,0.0,0.0,0.0,0.493506494,0.493506494,0.051948052,0.103896104,0.0,0.025974026,0.025974026,0.067532468,0.045454545,0.045454545,0.0,0.045454545,0.045454545,0.0,0.0,0.025974026,0.033766234,0.045454545,0.0,0.025974026,0.0,3.0,,3.0,3.0,,,,,,,,,,,1218.2,46.916666666666664,1.5708333333333335,42.5,71.125,,5.0,200.0,21.5,,,7.6,70.0,40.90909090909091,73.33333333333333,2022.0,637.0330330330331
Kacerere_Bufundi,101.0,0.014285714,0.0,0.0,0.0,0.0,0.357142857,0.357142857,0.057142857,0.114285714,0.0,0.028571429,0.028571429,0.071428571,0.071428571,0.042857143,0.0,0.071428571,0.042857143,0.0,0.0,0.028571429,0.071428571,0.071428571,0.0,0.028571429,0.0,3.0,3.0,,,,,,,,0.5,,,,,2050.6384615384613,47.61538461538461,1.0653846153846154,21.0,161.66666666666666,6.333333333333333,,,,,,4.416666666666667,,6.6,,2022.0,924.7362162162162
Kagali,106.0,0.010638298,0.0,0.0,0.0,0.0,0.281914894,0.281914894,0.042553191,0.085106383,0.0,0.021276596,0.021276596,0.042553191,0.031914894,0.031914894,0.0,0.021276596,0.021276596,0.0,0.0,0.042553191,0.021276596,0.031914894,0.0,0.042553191,0.0,3.0,3.0,,,,,,,,0.5,,,,,2007.8916666666667,42.833333333333336,0.9058333333333334,23.75,150.66666666666666,18.5,,250.0,,,,5.666666666666667,,12.25,,2022.0,791.1870870870871
Kagando_Kyabakara,122.0,0.011627907,0.0,0.0,0.058139535,0.0,0.360465116,0.360465116,0.046511628,0.093023256,0.011627907,0.023255814,0.023255814,0.104651163,0.069767442,0.069767442,0.0,0.069767442,0.069767442,0.0,0.0,0.023255814,0.069767442,0.069767442,0.0,0.023255814,0.0,4.0,4.0,4.0,4.0,,,,,,,,,,,1029.5827586206897,50.172413793103445,0.7258620689655173,30.344827586206897,91.57142857142857,,3.0,,65.0,57.5,,,35.0,89.375,136.875,2022.0,749.8359739049395
Kagarama_Nyabubare,120.0,0.011764706,0.0,0.0,0.011764706,0.0,0.352941176,0.352941176,0.023529412,0.094117647,0.011764706,0.023529412,0.023529412,0.055294118,0.028235294,0.037647059,0.0,0.028235294,0.037647059,0.0,0.0,0.023529412,0.0,0.045882353,0.0,0.023529412,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1083.5733333333333,46.7,1.1620689655172414,38.833333333333336,107.5,5.0,5.5,,65.0,,,,112.5,116.57142857142857,212.63636363636363,2022.0,806.3079150579151
Kagogo,191.0,0.005952381,0.0,0.0,0.0,0.0,0.285714286,0.285714286,0.023809524,0.047619048,0.0,0.011904762,0.011904762,0.047619048,0.035714286,0.023809524,0.0,0.023809524,0.035714286,0.0,0.0,0.011904762,0.023809524,0.029761905,0.0,0.011904762,0.0,3.0,3.0,,,,,,,,0.5,,,,,2004.86,52.9,0.5,46.0,162.0,13.666666666666666,,,,,,6.333333333333333,,3.75,,2022.0,837.8238238238238
Kagugo_Kacerere,37.0,0.030769231,0.0,0.0,0.0,0.0,0.276923077,0.276923077,0.123076923,0.246153846,0.0,0.061538462,0.061538462,0.061538462,0.061538462,0.061538462,0.0,0.061538462,0.061538462,0.0,0.0,0.061538462,0.061538462,0.061538462,0.0,0.061538462,0.0,3.0,3.0,,,,,,,,0.5,,,,,2043.6363636363637,46.81818181818182,0.8409090909090909,65.9090909090909,124.9090909090909,,,,,,,8.55,,7.454545454545454,,2022.0,959.052927927928
Kagunga_Kagunga,132.0,0.010752688,0.0,0.0,0.0,0.0,0.35483871,0.35483871,0.043010753,0.086021505,0.0,0.021505376,0.021505376,0.032258065,0.032258065,0.032258065,0.0,0.032258065,0.032258065,0.0,0.0,0.021505376,0.032258065,0.032258065,0.0,0.021505376,0.0,3.0,3.0,,,,,,,,0.25,,,,,2123.1846153846154,53.23076923076923,1.1261538461538463,71.15384615384616,123.72727272727273,16.0,,,,,,6.554545454545454,,21.25,,2022.0,566.7187187187187
Kakari_I_A,86.0,0.016528926,0.0,0.0,0.0,0.0,0.710743802,0.710743802,0.066115702,0.132231405,0.0,0.033057851,0.033057851,0.115702479,0.115702479,0.099173554,0.0,0.099173554,0.099173554,0.0,0.0,0.082644628,0.099173554,0.132231405,0.0,0.033057851,0.0,4.0,4.0,4.0,,,,,,,,,,,,1010.7041666666668,44.25,1.1434782608695653,15.041666666666666,234.11764705882354,16.4,7.0,,199.0,,,,60.0,223.25,218.57142857142858,2022.0,872.8495887191539
Kakari_I_B,82.0,0.017391304,0.0,0.0,0.0,0.0,0.713043478,0.713043478,0.069565217,0.139130435,0.0,0.034782609,0.034782609,0.12173913,0.12173913,0.104347826,0.0,0.104347826,0.104347826,0.0,0.0,0.086956522,0.104347826,0.139130435,0.0,0.034782609,0.0,4.0,4.0,4.0,,,,,,,,,,,,1020.3238095238095,50.476190476190474,0.8761904761904761,23.714285714285715,133.73333333333332,,3.0,,103.33333333333333,,,,,102.52380952380952,235.84615384615384,2022.0,1130.6036036036037
Kakureijo,77.0,0.018348624,0.0,0.0,0.0,0.0,0.348623853,0.348623853,0.073394495,0.146788991,0.0,0.036697248,0.036697248,0.073394495,0.073394495,0.073394495,0.0,0.055045872,0.055045872,0.0,0.0,0.036697248,0.036697248,0.073394495,0.0,0.036697248,0.0,3.0,3.0,,3.0,,,,,,,,,,,1243.125,45.0,1.1900000000000002,32.083333333333336,59.5,,,,,130.0,,,,,376.0,2022.0,945.520035252644
Kanjenje,82.0,0.017391304,0.0,0.0,0.086956522,0.0,0.365217391,0.365217391,0.069565217,0.139130435,0.017391304,0.034782609,0.034782609,0.104347826,0.104347826,0.12173913,0.0,0.12173913,0.104347826,0.0,0.0,0.034782609,0.0,0.104347826,0.0,0.139130435,0.034782609,3.0,3.0,3.0,3.0,,,,,,,,,,,1340.9583333333333,44.875,1.0717391304347825,67.08333333333333,95.3157894736842,6.0,3.0,,122.5,,,,,64.16666666666667,40.55555555555556,2022.0,689.7990599294947
Kanyankyende,127.0,0.011173184,0.0,0.0,0.0,0.0,0.357541899,0.357541899,0.044692737,0.089385475,0.0,0.022346369,0.022346369,0.033519553,0.033519553,0.033519553,0.0,0.033519553,0.033519553,0.0,0.0,0.022346369,0.033519553,0.044692737,0.0,0.022346369,0.0,3.0,3.0,,3.0,,,,,,,,,,,1464.4333333333334,40.5,0.5491666666666667,40.416666666666664,53.666666666666664,,0.0,,37.5,,,,,3.6,0.0,2022.0,645.6399613899614
Kanywansande,186.0,0.007692308,0.0,0.0,0.023076923,0.0,0.361538462,0.361538462,0.030769231,0.061538462,0.007692308,0.015384615,0.015384615,0.069230769,0.069230769,0.069230769,0.0,0.053846154,0.053846154,0.0,0.0,0.030769231,0.038461538,0.069230769,0.0,0.015384615,0.0,4.0,4.0,,4.0,,10.0,,,,,,,,,1103.2,40.96666666666667,1.4017241379310343,26.766666666666666,119.0,,11.222222222222221,,116.4,119.0,,85.0,95.0,28.333333333333332,188.07142857142858,2022.0,
Karembo,66.0,0.021276596,0.0,0.0,0.0,0.0,0.361702128,0.361702128,0.042553191,0.170212766,0.0,0.042553191,0.042553191,0.085106383,0.042553191,0.042553191,0.0,0.042553191,0.042553191,0.0,0.0,0.042553191,0.0,0.042553191,0.0,0.042553191,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1048.2124999999999,42.875,0.9291666666666667,31.041666666666668,123.8,11.5,4.0,,122.5,180.0,,5.0,108.16666666666667,64.6842105263158,165.34375,2022.0,611.2736486486486
